hospital_id,hospital_name,city,city_tier,state,specialties,nabh_accredited,rating,review_count,cost_tier,lat,lon,established_year,bed_count,description
H001,Apollo Hospitals Hyderabad,Hyderabad,metro,Telangana,"Cardiologist,Oncologist,Neurologist,Orthopedist",True,4.6,2340,premium,17.4239,78.4738,1996,350,Full-service tertiary care hospital
H002,Yashoda Hospitals Hyderabad,Hyderabad,metro,Telangana,"Cardiologist,Gastroenterologist,Nephrologist",True,4.4,1890,premium,17.4401,78.4994,2001,280,Cardiac and nephrology center of excellence
H003,Care Hospitals Hyderabad,Hyderabad,metro,Telangana,"Cardiologist,Pulmonologist,Neurologist",True,4.3,1540,mid,17.4063,78.4582,2000,200,Multi-specialty chain
H004,Medicover Hospitals Hyderabad,Hyderabad,metro,Telangana,"Oncologist,Orthopedist,General Physician",True,4.2,1200,mid,17.4319,78.4527,2015,180,European hospital group India
H005,Citizens Hospital Hyderabad,Hyderabad,metro,Telangana,"General Physician,Dermatologist,Psychiatrist",False,4.0,890,budget,17.3850,78.4867,2005,120,Community care hospital
H006,Sunrise Specialty Hyderabad,Hyderabad,metro,Telangana,"Cardiologist,Orthopedist,Pulmonologist",True,4.5,1620,premium,17.419,78.481,2008,260,Advanced specialty center
H007,MetroLife Clinic Hyderabad,Hyderabad,metro,Telangana,"General Physician,Gastroenterologist,Dermatologist",False,4.1,760,budget,17.392,78.472,2012,110,Affordable urban care
H008,Rainbow Health Hyderabad,Hyderabad,metro,Telangana,"Neurologist,Psychiatrist,General Physician",True,4.2,980,mid,17.438,78.469,2010,170,Integrated neuro and mental health
H009,Fortune Med Hyderabad,Hyderabad,metro,Telangana,"Oncologist,Nephrologist,Cardiologist",True,4.4,1330,premium,17.446,78.488,2004,300,Comprehensive quaternary care
H010,CityCare Hospital Hyderabad,Hyderabad,metro,Telangana,"Orthopedist,Pulmonologist,General Physician",False,3.9,650,budget,17.401,78.495,2016,95,Neighborhood multispecialty hospital
H011,Apollo Hospitals Mumbai,Mumbai,metro,Maharashtra,"Cardiologist,Oncologist,Neurologist,Orthopedist",True,4.7,2890,premium,19.082,72.878,1994,420,Flagship tertiary care center
H012,Fortis Mumbai Central,Mumbai,metro,Maharashtra,"Cardiologist,Gastroenterologist,Nephrologist",True,4.5,2110,premium,19.071,72.889,2002,310,Cardio gastro advanced center
H013,Nanavati Lifecare,Mumbai,metro,Maharashtra,"Cardiologist,Pulmonologist,Neurologist",True,4.4,1860,mid,19.064,72.845,2000,240,Trusted multi-specialty provider
H014,GlobalCare Andheri,Mumbai,metro,Maharashtra,"Oncologist,Orthopedist,General Physician",True,4.3,1430,mid,19.116,72.854,2011,210,Oncology and orthopedic excellence
H015,People's Hospital Mumbai,Mumbai,metro,Maharashtra,"General Physician,Dermatologist,Psychiatrist",False,4.0,910,budget,19.048,72.901,2009,130,Accessible community healthcare
H016,Seaside Heart Institute,Mumbai,metro,Maharashtra,"Cardiologist,Nephrologist,Pulmonologist",True,4.6,2010,premium,19.092,72.861,1998,330,Heart and critical care specialist
H017,UrbanMed Bandra,Mumbai,metro,Maharashtra,"General Physician,Gastroenterologist,Dermatologist",False,4.1,820,budget,19.061,72.832,2014,105,Family focused care center
H018,NeuroMind Mumbai,Mumbai,metro,Maharashtra,"Neurologist,Psychiatrist,General Physician",True,4.2,1090,mid,19.087,72.842,2013,185,Brain and behavior institute
H019,OncoPlus Mumbai,Mumbai,metro,Maharashtra,"Oncologist,Cardiologist,Nephrologist",True,4.5,1670,premium,19.101,72.874,2006,295,Cancer and chronic disease hub
H020,Suburban Care Mumbai,Mumbai,metro,Maharashtra,"Orthopedist,Pulmonologist,General Physician",False,3.9,700,budget,19.032,72.913,2017,98,Suburban affordable care
H021,Apollo Hospitals Delhi,Delhi,metro,Delhi,"Cardiologist,Oncologist,Neurologist,Orthopedist",True,4.6,2750,premium,28.614,77.219,1995,390,National referral center
H022,Max Super Specialty Delhi,Delhi,metro,Delhi,"Cardiologist,Gastroenterologist,Nephrologist",True,4.5,2230,premium,28.626,77.208,2001,320,Advanced tertiary services
H023,BLK Care Delhi,Delhi,metro,Delhi,"Cardiologist,Pulmonologist,Neurologist",True,4.3,1710,mid,28.643,77.195,1999,230,Comprehensive multispecialty hospital
H024,Metro Ortho Delhi,Delhi,metro,Delhi,"Oncologist,Orthopedist,General Physician",True,4.2,1320,mid,28.598,77.223,2012,190,Orthopedic and oncology care
H025,Jan Seva Delhi,Delhi,metro,Delhi,"General Physician,Dermatologist,Psychiatrist",False,4.0,880,budget,28.579,77.201,2007,125,Public friendly urban hospital
H026,Capital Heart Delhi,Delhi,metro,Delhi,"Cardiologist,Nephrologist,Pulmonologist",True,4.5,1900,premium,28.632,77.241,2003,305,Cardiorenal center
H027,Lotus Clinic Delhi,Delhi,metro,Delhi,"General Physician,Gastroenterologist,Dermatologist",False,4.1,810,budget,28.603,77.253,2015,112,Affordable ambulatory and inpatient care
H028,MindSpace Delhi,Delhi,metro,Delhi,"Neurologist,Psychiatrist,General Physician",True,4.2,1010,mid,28.621,77.182,2010,176,Neuro psychiatry integrated unit
