symptoms,doctor_specialty
"sweating, radiating arm pain, high blood pressure",Cardiologist
"weight gain, high creatinine, flank pain",Nephrologist
"scaly patches, acne",Dermatologist
"seizures, loss of consciousness, memory loss",Neurologist
"fatigue, cough",General Physician
"weight gain, high creatinine, ear pain",Nephrologist
"fatigue, fever, loss of appetite, cold, nausea",General Physician
"loss of appetite, mild headache, cold, cough, hoarseness",General Physician
"loss of appetite, headache",General Physician
"runny nose, loss of appetite, sore throat, body ache",General Physician
"shortness of breath, coughing blood, chest tightness, weight gain, wheezing",Pulmonologist
"sore throat, mild headache",General Physician
"chest pain, high blood pressure, shortness of breath, swelling of legs",Cardiologist
"nausea, runny nose",General Physician
"limited range of motion, joint pain, back pain",Orthopedist
"persistent cough, chest tightness, weight gain",Pulmonologist
"headache, runny nose, sore throat, mild headache",General Physician
"back pain, bone pain",Orthopedist
"sneezing, wheezing, hives, itchy eyes",Allergist/Immunologist
"redness, scaly patches, itching",Dermatologist
"fever, dizziness",Neurologist
"floaters, blurred vision",Ophthalmologist
"loss of consciousness, memory loss, fever",Neurologist
"body ache, sore throat, chills, cold",General Physician
nausea,General Physician
"chest pain, sweating",Cardiologist
"fever, dizziness, weakness",Neurologist
"dizziness, fever, frequent urination",Urologist
"scaly patches, blisters, hives, redness",Dermatologist
"fever, dizziness, slurred speech, headache, seizures",Neurologist
"weight gain, diarrhea, blood in stool, constipation",Gastroenterologist
constipation,Gastroenterologist
"chest tightness, wheezing, shortness of breath, persistent cough, coughing blood",Pulmonologist
"loss of appetite, body ache",General Physician
"shortness of breath, recurrent lung infections",Pulmonologist
"blood in urine, swelling of feet",Nephrologist
"foamy urine, flank pain, reduced urine output",Nephrologist
"skin rash, blisters",Dermatologist
"chest pain, shortness of breath, radiating arm pain",Cardiologist
"chills, mild headache",General Physician
"flank pain, swelling of feet, foamy urine, reduced urine output",Nephrologist
"radiating arm pain, palpitations",Cardiologist
"memory loss, fever, numbness",Neurologist
"nausea, body ache",General Physician
"runny nose, sneezing, itchy eyes",Allergist/Immunologist
sore throat,General Physician
"cold, fatigue, cough, body ache, mild headache",General Physician
"hallucinations, panic attacks",Psychiatrist
"fever, loss of consciousness",Neurologist
"unexplained weight loss, fatigue",Endocrinologist
"palpitations, shortness of breath, swelling of legs",Cardiologist
"anxiety, fever, mood swings",Psychiatrist
"difficulty passing urine, fever, frequent urination",Urologist
"redness, hair loss, itching",Dermatologist
"constipation, blood in stool",Gastroenterologist
"nasal congestion, tinnitus, weight gain",ENT Specialist
"mild headache, cough, sore throat, body ache",General Physician
"redness, skin rash",Dermatologist
"menstrual cramps, irregular periods, painful periods, pelvic pain, heavy bleeding",Gynecologist
"dry skin, itching, skin rash",Dermatologist
"stiffness, limited range of motion, back pain",Orthopedist
"persistent cough, coughing blood, shortness of breath, chest tightness",Pulmonologist
swelling after exposure,Allergist/Immunologist
"mild headache, cough, runny nose",General Physician
"seizures, weakness, headache",Neurologist
blood in stool,Gastroenterologist
"runny nose, nasal congestion, hoarseness, fatigue",ENT Specialist
"fatigue, headache, cough",General Physician
"palpitations, fainting, shortness of breath",Cardiologist
"fainting, shortness of breath",Cardiologist
"cough, headache, chills, cold",General Physician
"blisters, skin rash, hives",Dermatologist
"radiating arm pain, palpitations, high blood pressure, penile discharge",Cardiologist
"heavy bleeding, painful periods, irregular periods, menstrual cramps",Gynecologist
"joint pain, bone pain, muscle weakness",Orthopedist
"bone pain, depressed mood",Orthopedist
"nausea, fatigue, body ache",General Physician
"coughing blood, weight gain, persistent cough",Pulmonologist
"body ache, headache, nausea",General Physician
"nasal congestion, runny nose",ENT Specialist
"burning urination, frequent urination, dizziness, fever, penile discharge",Urologist
"diarrhea, weight gain",Gastroenterologist
"fainting, high blood pressure",Cardiologist
weight gain,Gastroenterologist
